coupleid,time,isdhappy1,isdhappy2,isdhappy3,isphappy1,isphappy2,isphappy3,isddepr1,isddepr2,isddepr3,ispdepr1,ispdepr2,ispdepr3,isdanx1r,isdanx2,isdanx3,ispanx1r,ispanx2,ispanx3,isdanger1,isdanger2,isdanger3,ispanger1,ispanger2,ispanger3
158,3,5,5,5,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
158,4,1,1,1,5,4,4,3,3,4,1,1,1,5,3,4,2,1,1,5,3,1,1,1,1
158,5,3,3,3,3,3,2,2,3,3,4,4,5,3,1,1,5,2,3,2,2,1,3,2,2
158,6,3,2,1,3,2,2,4,4,4,4,3,5,3,2,3,5,2,2,3,1,3,4,3,2
158,7,3,3,1,NA,NA,NA,2,3,2,NA,NA,NA,2,1,4,NA,NA,NA,2,2,1,NA,NA,NA
159,0,5,4,4,4,5,4,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1
159,1,4,3,4,4,5,4,1,1,3,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1
159,2,3,2,3,3,3,2,1,1,2,3,1,3,3,1,1,2,3,3,2,3,2,1,3,1
159,3,4,3,4,4,3,3,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1
159,4,5,5,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
159,5,5,4,4,4,3,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
159,6,5,4,4,5,5,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
159,7,5,4,4,4,3,2,1,1,2,3,1,3,2,1,1,3,1,2,4,2,1,1,4,1
159,8,NA,NA,NA,4,4,4,NA,NA,NA,2,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1
159,9,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
159,10,5,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1,NA,NA,NA
159,11,4,4,4,3,3,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
159,12,5,4,4,5,1,4,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1
160,0,3,3,2,5,4,4,1,1,1,2,1,1,3,1,1,2,1,2,1,1,1,1,2,1
160,1,5,4,4,3,3,3,1,1,1,2,1,3,2,1,1,3,1,1,1,1,1,1,2,1
160,2,5,4,4,5,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
160,3,2,2,2,4,4,4,2,2,2,1,1,1,4,2,2,2,1,1,2,2,2,1,2,1
160,4,3,3,3,5,5,5,1,3,1,1,1,1,3,2,1,2,1,1,3,3,1,1,1,1
160,5,4,4,4,5,4,4,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1
160,6,3,2,2,5,4,4,1,2,2,1,1,1,4,2,2,2,1,1,1,2,1,1,1,1
160,7,5,4,4,5,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
160,8,4,4,4,5,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
160,9,5,4,4,5,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
160,10,4,3,2,4,4,4,1,2,1,1,1,1,3,3,1,2,1,1,1,2,1,1,1,1
160,11,4,4,4,5,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
160,12,4,3,3,5,4,4,1,2,2,1,1,1,3,1,1,2,1,1,1,2,2,1,1,1
161,0,4,4,4,3,5,4,1,1,1,1,2,1,3,1,1,3,3,3,1,3,1,1,2,1
161,1,4,4,4,4,3,3,1,1,1,1,1,1,2,1,1,3,1,3,1,1,1,1,1,1
161,2,4,2,2,5,5,5,1,1,4,1,1,1,4,1,1,3,1,1,3,3,4,1,1,1
161,3,4,3,3,3,3,5,1,1,2,1,1,1,2,1,1,3,1,4,1,4,3,1,3,1
161,4,4,3,4,4,3,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
161,5,5,4,5,3,3,3,1,1,1,1,1,1,2,1,1,3,1,3,1,2,1,1,1,1
161,6,4,4,4,4,3,3,1,1,1,1,1,1,2,1,1,3,1,1,2,2,1,1,1,1
161,7,4,4,4,4,3,3,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1
161,8,4,4,4,4,3,3,1,1,2,1,1,1,2,1,1,3,1,1,2,2,2,1,1,1
161,9,3,2,2,4,3,4,1,2,4,1,1,1,4,1,1,3,1,1,4,4,3,1,2,1
161,10,4,4,4,5,3,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
161,11,4,4,4,5,4,4,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1
162,0,NA,NA,NA,2,1,1,NA,NA,NA,4,1,4,NA,NA,NA,3,1,4,NA,NA,NA,4,2,4
162,1,3,2,1,NA,NA,NA,3,4,1,NA,NA,NA,2,4,3,NA,NA,NA,1,1,1,NA,NA,NA
162,2,4,3,3,2,2,1,1,3,2,2,1,2,3,3,3,5,1,1,2,3,3,2,1,1
162,3,5,4,5,3,2,1,1,1,1,2,1,2,1,2,2,5,2,2,1,1,1,2,1,2
162,4,4,1,1,NA,NA,NA,1,2,1,NA,NA,NA,3,3,2,NA,NA,NA,1,3,1,NA,NA,NA
162,5,4,3,2,2,1,1,2,2,2,1,1,1,3,3,3,5,1,1,1,2,1,1,1,1
162,6,2,1,1,2,2,1,4,5,4,2,2,4,5,3,3,4,2,2,2,5,1,2,2,3
162,7,NA,NA,NA,1,1,2,NA,NA,NA,1,1,1,NA,NA,NA,5,2,2,NA,NA,NA,1,1,1
162,8,4,2,2,NA,NA,NA,2,3,2,NA,NA,NA,2,5,1,NA,NA,NA,1,2,1,NA,NA,NA
162,9,5,2,3,NA,NA,NA,1,2,1,NA,NA,NA,5,3,2,NA,NA,NA,1,2,1,NA,NA,NA
162,10,4,3,2,NA,NA,NA,1,2,1,NA,NA,NA,3,3,1,NA,NA,NA,1,2,1,NA,NA,NA
162,11,3,1,1,NA,NA,NA,2,3,2,NA,NA,NA,5,2,2,NA,NA,NA,2,2,2,NA,NA,NA
162,12,2,1,1,3,3,2,4,3,3,2,1,2,5,3,1,3,3,2,2,3,2,2,3,2
162,13,4,2,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,2,1,2,1,2,2,2
163,0,4,4,4,2,2,2,1,1,2,1,1,3,3,1,1,4,1,1,3,3,3,3,3,2
163,1,4,4,4,4,3,3,1,1,1,1,1,1,2,3,2,5,1,1,2,2,1,1,1,1
163,2,4,4,4,5,4,5,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
163,3,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
163,4,4,3,3,2,2,3,1,1,1,1,1,2,3,2,2,4,1,2,1,1,1,1,4,2
163,5,4,4,4,4,4,3,1,1,1,1,1,1,4,2,3,3,1,1,1,1,1,1,1,1
163,6,4,3,3,3,3,3,1,1,2,1,1,1,3,2,1,3,1,1,2,3,2,2,1,1
163,7,NA,NA,NA,3,3,3,NA,NA,NA,1,1,1,NA,NA,NA,4,1,1,NA,NA,NA,1,1,1
163,8,4,3,4,3,3,3,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1
163,9,4,4,4,3,3,3,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1
163,10,4,4,4,4,3,4,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
163,11,4,4,4,3,2,2,1,1,1,1,1,1,3,1,3,5,1,1,1,1,1,1,5,4
163,12,NA,NA,NA,3,3,3,NA,NA,NA,1,1,1,NA,NA,NA,4,1,1,NA,NA,NA,1,3,1
164,0,4,3,4,4,5,4,1,3,1,1,2,1,3,1,1,1,1,1,1,1,1,4,4,3
164,1,3,2,2,5,4,3,1,3,1,1,1,1,3,1,1,2,1,1,3,3,3,4,4,1
164,2,3,3,3,5,5,5,1,1,1,1,1,1,3,1,1,2,1,1,1,2,1,2,1,1
164,3,4,4,4,5,5,5,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1
164,4,4,4,4,4,4,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
164,5,4,2,2,3,3,3,1,1,1,2,1,1,4,2,1,2,1,1,3,3,3,1,1,1
164,6,3,2,3,5,4,4,1,1,2,1,1,1,5,1,1,2,1,1,2,3,2,1,1,1
164,7,4,3,4,4,3,3,1,1,1,1,1,1,2,1,1,2,1,1,3,3,2,1,1,1
164,8,4,4,3,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1,NA,NA,NA
164,9,4,3,4,4,4,4,1,1,1,2,1,1,3,1,1,2,3,1,2,3,2,2,1,1
164,10,NA,NA,NA,5,4,4,NA,NA,NA,2,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1
164,11,4,4,4,2,2,4,1,1,1,4,3,1,2,1,1,4,1,1,1,2,1,1,1,1
164,12,4,3,4,5,4,3,2,1,1,2,1,3,3,1,1,2,1,1,1,1,1,1,1,1
165,0,NA,NA,NA,2,3,3,NA,NA,NA,4,3,2,NA,NA,NA,2,3,3,NA,NA,NA,3,2,2
165,1,3,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,2,2,1,1,1,2,3,2
165,2,1,1,1,3,3,3,4,2,2,3,3,3,5,1,1,3,3,3,2,2,1,3,3,3
165,3,1,2,1,3,3,2,2,3,2,2,1,3,3,2,1,3,3,1,1,1,1,2,2,1
165,4,3,4,3,3,4,4,1,1,1,3,3,3,5,1,1,3,3,3,1,1,1,3,3,3
165,5,4,3,3,4,4,4,1,1,1,3,2,2,3,1,1,2,2,3,1,1,1,3,2,3
165,6,3,2,1,3,2,3,1,1,1,2,2,2,3,1,1,4,2,2,1,1,1,2,2,2
165,7,3,3,3,2,3,2,1,1,1,5,4,4,2,1,1,3,3,4,1,1,1,4,4,4
165,8,3,2,1,3,3,3,1,1,1,3,3,3,3,1,1,3,3,3,1,1,1,3,3,3
165,9,4,1,3,3,3,3,1,1,1,3,3,3,5,1,1,3,3,3,1,1,1,3,3,3
165,10,4,3,2,NA,NA,NA,1,1,1,NA,NA,NA,4,1,1,NA,NA,NA,1,1,1,NA,NA,NA
165,11,1,1,1,3,3,3,3,4,2,3,3,3,5,1,1,3,3,3,1,1,1,3,3,3
165,12,4,4,4,3,3,4,1,1,1,3,3,3,2,1,1,3,3,3,1,1,1,3,3,3
165,13,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1,NA,NA,NA
166,0,4,3,2,4,4,5,2,1,2,1,1,1,3,2,3,2,1,1,3,4,2,2,1,2
166,1,3,2,2,4,4,5,3,4,4,1,1,1,4,2,3,1,1,1,4,4,4,2,2,2
166,2,4,3,3,4,4,4,1,2,2,1,1,1,2,2,2,2,2,2,2,3,2,1,1,1
166,3,4,3,3,4,4,4,2,2,2,2,1,1,2,2,2,2,1,1,3,3,3,2,2,2
166,4,NA,NA,NA,3,3,3,NA,NA,NA,2,2,2,NA,NA,NA,3,2,2,NA,NA,NA,3,4,3
166,5,3,3,2,4,3,3,2,2,2,1,1,1,3,2,2,3,1,1,3,3,3,2,3,1
166,6,NA,NA,NA,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,2,2,NA,NA,NA,2,2,1
166,7,2,1,2,4,3,3,4,3,4,2,1,1,4,3,3,2,2,2,4,4,4,3,4,4
166,8,NA,NA,NA,4,3,4,NA,NA,NA,2,1,1,NA,NA,NA,2,2,2,NA,NA,NA,1,1,1
166,9,3,3,3,3,4,4,3,3,3,1,2,2,3,3,3,2,1,1,3,3,3,2,3,1
166,10,3,2,2,4,3,3,3,4,3,3,1,2,4,3,4,2,1,1,4,4,3,2,3,2
166,11,4,2,3,4,3,4,2,2,2,2,1,1,4,1,3,2,1,1,4,4,4,2,3,2
166,12,NA,NA,NA,3,3,3,NA,NA,NA,2,2,2,NA,NA,NA,3,2,2,NA,NA,NA,3,3,2
166,13,NA,NA,NA,4,3,4,NA,NA,NA,2,1,1,NA,NA,NA,2,1,1,NA,NA,NA,2,2,1
167,0,5,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,1,4,4,4,5,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
167,2,3,4,2,4,4,4,2,1,3,1,1,1,3,1,1,2,1,1,2,4,4,1,2,1
167,3,4,4,4,5,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
167,4,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
167,5,5,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
167,6,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1
167,7,5,4,5,5,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
167,8,4,3,4,5,4,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
167,9,NA,NA,NA,5,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1
167,10,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,11,5,4,5,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
167,12,4,4,5,5,4,4,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1
167,13,NA,NA,NA,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1
169,0,4,3,4,3,5,3,1,1,1,1,1,1,3,1,1,2,2,2,1,3,3,2,3,2
169,1,5,4,3,4,3,3,1,1,1,1,1,1,2,1,1,3,1,1,3,4,4,1,2,1
169,2,3,4,4,4,5,4,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1
169,3,NA,NA,NA,2,1,1,NA,NA,NA,3,4,5,NA,NA,NA,3,1,2,NA,NA,NA,5,4,4
169,4,4,4,3,3,3,1,1,1,1,2,2,2,2,1,1,4,1,1,1,2,1,2,2,2
169,5,3,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1
169,6,4,4,4,3,4,3,2,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
169,7,3,4,3,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1,NA,NA,NA
169,8,5,4,3,4,3,4,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,1,2,1
169,9,3,3,3,3,4,3,1,1,1,1,1,1,3,1,1,2,1,1,4,4,1,1,2,1
169,10,4,3,4,2,2,3,1,1,2,4,4,4,3,2,2,4,1,1,1,1,3,3,4,3
169,11,5,4,4,4,4,3,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1
169,12,4,4,4,5,5,4,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1
170,0,3,2,2,4,4,4,3,2,3,1,1,1,3,3,3,3,1,1,1,3,1,1,2,1
170,1,3,4,1,3,3,3,3,3,3,1,1,1,3,1,3,4,1,1,4,5,4,1,1,1
170,2,1,1,1,4,4,4,2,3,5,1,1,1,5,1,3,3,1,1,5,5,5,1,1,1
170,3,3,3,2,4,4,4,2,3,3,1,1,1,2,1,3,3,1,1,3,1,2,1,3,1
170,4,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1,NA,NA,NA
170,5,4,3,3,5,4,4,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1
170,6,5,4,4,4,4,4,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
170,7,3,3,3,4,4,4,1,1,1,1,1,1,3,1,3,3,1,1,1,4,1,1,3,1
170,8,3,3,3,4,3,3,2,1,3,1,1,1,4,1,3,2,1,1,1,4,1,1,1,1
170,9,3,1,1,5,3,5,2,4,5,1,1,1,5,5,3,3,1,1,3,5,2,3,1,1
170,10,3,2,2,4,4,3,3,3,2,1,1,1,4,2,3,3,1,1,1,3,2,1,1,1
170,11,3,2,1,4,4,3,3,4,4,1,1,1,5,5,3,2,1,1,3,4,3,1,1,1
170,12,3,3,3,4,4,4,3,1,2,1,1,1,3,2,3,5,1,1,1,4,1,1,3,1
171,0,4,3,3,5,4,4,1,1,1,2,2,2,3,2,1,4,1,2,1,1,1,3,5,3
171,1,5,3,4,5,4,4,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1,1,2,1
171,2,4,3,3,5,4,3,1,1,1,2,1,2,3,1,1,5,3,5,1,2,1,4,5,4
171,3,4,3,3,NA,NA,NA,1,1,1,NA,NA,NA,4,1,1,NA,NA,NA,1,1,1,NA,NA,NA
171,4,4,4,3,NA,NA,NA,1,1,1,NA,NA,NA,3,1,1,NA,NA,NA,1,1,1,NA,NA,NA
171,5,3,3,4,NA,NA,NA,1,1,2,NA,NA,NA,3,1,1,NA,NA,NA,1,1,1,NA,NA,NA
171,6,2,2,2,1,1,1,1,1,4,4,2,5,3,1,1,5,1,4,2,3,4,5,5,5
171,7,2,3,3,NA,NA,NA,2,1,1,NA,NA,NA,3,1,1,NA,NA,NA,1,2,1,NA,NA,NA
171,8,3,3,3,3,3,2,1,1,1,3,3,4,4,1,2,4,1,4,1,1,1,3,5,4
171,9,2,3,4,4,4,3,1,1,1,1,4,2,4,2,1,3,2,3,1,1,1,2,5,3
171,10,2,3,3,5,4,4,1,1,3,1,1,1,3,1,1,3,2,3,1,3,1,1,1,3
171,11,3,2,3,NA,NA,NA,1,1,1,NA,NA,NA,4,1,1,NA,NA,NA,1,1,1,NA,NA,NA
171,12,2,3,3,NA,NA,NA,1,1,2,NA,NA,NA,3,2,1,NA,NA,NA,1,1,1,NA,NA,NA
171,13,3,3,4,1,3,3,1,1,1,1,5,5,3,1,2,5,5,5,1,1,1,1,5,5
171,14,NA,NA,NA,4,4,4,NA,NA,NA,2,2,2,NA,NA,NA,3,1,2,NA,NA,NA,3,3,2
172,0,3,2,2,3,4,3,4,4,5,1,2,1,4,4,5,2,2,4,3,4,2,2,2,1
172,1,3,3,2,3,3,2,2,3,3,2,3,1,4,3,4,3,1,2,1,3,1,3,2,3
172,2,2,1,2,5,5,4,4,4,4,1,1,1,3,4,5,3,1,1,3,3,2,1,1,1
172,3,3,4,3,4,4,4,2,2,2,1,1,1,3,4,4,1,1,2,2,2,1,1,1,1
172,4,2,2,1,3,1,1,3,4,1,2,3,3,5,5,5,4,2,3,3,5,1,3,5,5
172,5,1,1,1,3,3,3,5,5,5,3,3,3,4,3,5,3,3,3,5,5,5,4,4,3
172,6,3,3,3,5,5,5,2,2,1,1,1,1,4,4,5,2,2,3,1,1,1,1,1,1
172,7,2,1,1,3,5,4,4,5,5,1,1,1,5,5,5,2,1,1,5,5,5,1,1,1
172,8,1,1,1,3,3,3,5,5,5,1,1,2,5,5,5,3,1,2,4,3,2,1,4,2
172,9,3,3,2,2,1,2,1,2,1,3,2,1,2,3,4,5,4,5,1,2,1,1,4,1
172,10,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
172,11,1,1,1,1,1,1,5,5,5,3,4,5,5,4,5,5,3,5,4,5,5,5,5,5
172,12,2,2,1,1,1,1,3,5,3,1,3,3,5,5,5,5,4,5,3,5,5,1,5,5
173,0,3,3,2,3,3,2,4,4,4,3,2,2,5,1,3,4,1,2,1,4,1,1,2,3
173,1,3,3,3,4,3,3,2,3,3,1,1,1,4,1,2,4,1,3,2,2,2,1,2,1
173,2,4,2,2,4,3,3,1,2,2,2,2,2,3,1,1,4,1,1,2,1,1,1,2,2
173,3,5,5,5,4,3,3,1,1,1,1,1,1,1,1,3,3,2,2,1,2,1,1,2,1
173,4,5,5,5,5,4,5,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1
173,5,4,5,3,4,3,4,2,2,1,1,1,1,3,1,2,3,1,1,2,2,1,1,1,1
173,6,5,5,5,4,2,4,1,1,1,1,1,1,3,2,1,5,1,1,1,1,1,1,1,1
173,7,5,3,4,5,3,3,1,2,2,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1
173,8,3,2,1,4,2,1,2,2,2,1,1,2,5,1,2,3,1,2,3,3,2,2,2,1
173,9,4,3,2,5,4,3,2,2,1,1,1,1,5,1,3,5,1,2,1,2,2,1,1,1
173,10,4,3,3,4,3,4,1,1,1,1,1,1,3,2,3,5,1,2,1,2,1,1,2,1
173,11,5,5,5,4,1,4,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1
174,0,4,3,3,NA,NA,NA,3,3,3,NA,NA,NA,3,3,3,NA,NA,NA,3,3,3,NA,NA,NA
174,1,3,4,3,4,5,4,1,1,1,1,1,1,4,3,3,1,1,1,1,2,2,1,1,1
174,2,NA,NA,NA,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,2,2,1
174,3,4,4,4,4,4,4,4,3,2,1,1,1,4,2,2,1,1,1,2,2,1,1,1,1
174,4,2,4,2,3,4,4,3,1,3,1,1,1,4,3,2,2,1,1,2,3,2,1,1,1
174,5,3,4,3,3,3,3,3,1,1,1,1,1,3,2,2,3,1,1,1,1,1,3,3,3
174,6,2,3,2,3,3,3,2,3,2,1,1,1,3,2,2,3,1,1,2,3,2,2,3,2
174,7,3,3,2,4,4,3,1,3,3,1,1,1,5,2,2,2,1,1,1,3,2,1,1,1
174,8,2,2,2,3,4,3,5,5,4,1,1,1,5,4,3,2,1,1,3,3,2,1,1,1
174,9,5,3,4,3,4,4,2,2,2,1,1,1,5,2,2,3,1,1,1,2,1,1,1,1
174,10,3,3,2,3,3,3,1,1,2,1,1,1,3,2,2,3,1,1,2,2,1,2,2,2
174,11,NA,NA,NA,3,4,3,NA,NA,NA,1,1,1,NA,NA,NA,3,1,2,NA,NA,NA,1,1,1
174,12,5,5,5,3,3,3,3,2,3,1,1,1,3,2,2,3,1,1,1,2,1,2,2,1
174,13,3,3,3,3,4,3,3,1,2,1,1,1,3,3,2,3,2,2,2,2,2,1,2,1
174,14,3,4,3,3,3,2,3,2,3,1,1,1,4,2,2,3,1,1,2,2,1,1,1,1
175,0,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,2,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,4,NA,NA,NA,5,5,5,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1
175,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,6,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,7,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,8,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,9,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,10,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,0,3,4,3,4,4,4,1,1,1,1,1,1,3,2,1,5,1,3,1,1,1,1,1,1
176,1,NA,NA,NA,4,3,3,NA,NA,NA,1,1,1,NA,NA,NA,3,1,1,NA,NA,NA,1,1,1
176,2,NA,NA,NA,4,4,4,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,NA,NA,NA,1,1,1
176,3,4,4,4,3,4,4,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
176,4,5,4,4,3,4,4,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1
176,5,4,4,3,4,4,3,1,1,1,1,3,1,3,2,2,2,1,1,1,1,1,1,1,1
176,6,1,2,1,4,4,4,2,2,2,1,1,1,4,3,1,2,1,1,1,2,1,1,1,1
176,7,3,3,3,3,3,3,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1
176,8,3,3,3,3,3,3,1,1,1,1,1,1,3,3,1,3,1,1,1,2,1,1,1,1
176,9,1,2,2,3,3,3,3,3,1,1,1,1,4,2,2,3,1,1,1,1,1,1,1,1
176,10,3,3,3,3,3,3,1,1,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,3
176,11,4,4,3,3,3,3,1,1,1,1,1,1,3,1,2,3,1,1,1,1,2,1,1,1
176,12,4,4,4,3,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1
177,0,3,3,3,4,5,4,2,1,2,1,1,1,3,1,2,2,1,2,1,1,1,2,1,1
177,1,3,3,3,4,4,4,3,1,1,1,1,1,4,1,1,2,1,2,1,2,1,1,1,1
177,2,4,3,3,5,5,5,1,1,1,1,1,1,3,1,2,1,1,2,1,2,1,1,1,1
177,3,3,3,3,5,4,5,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1
177,4,3,2,1,5,4,5,1,1,1,1,1,1,4,2,5,2,1,2,1,2,1,1,1,1
177,5,3,3,3,5,5,5,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,1
177,6,4,3,3,5,5,5,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,1,2,1
177,7,3,3,3,5,5,4,1,1,1,1,1,1,3,1,2,2,2,2,1,2,1,1,1,1
177,8,4,3,3,4,4,4,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,1,2,1
177,9,4,3,3,5,5,5,1,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1
177,10,3,3,3,5,4,4,3,1,1,1,1,1,3,1,1,2,1,2,2,2,1,2,2,1
177,11,3,2,1,5,5,5,1,1,2,1,1,1,4,1,3,2,1,3,1,2,1,1,2,1
177,12,3,3,3,5,5,5,1,1,1,1,1,1,3,1,2,2,1,2,1,2,1,1,1,1
177,13,3,3,3,5,5,5,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,1
177,14,3,3,3,5,5,5,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1
178,0,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,1,1,1,5,NA,NA,NA,5,2,5,NA,NA,NA,5,5,5,NA,NA,NA,4,2,5,NA,NA,NA
178,2,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
178,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,2,1
178,4,3,2,4,NA,NA,NA,2,4,5,NA,NA,NA,2,4,3,NA,NA,NA,3,4,3,NA,NA,NA
178,5,3,3,3,4,4,4,3,3,3,1,1,1,3,3,3,2,1,1,3,3,3,1,1,1
178,6,5,5,5,5,4,4,1,1,5,1,1,1,5,1,1,2,1,1,1,1,1,1,1,1
178,7,5,5,3,4,4,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
178,8,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,9,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
178,10,5,4,5,5,5,5,1,1,1,1,4,2,2,1,1,1,3,4,1,1,1,1,4,1
